train_or_test,Simulation_Number,Maze_Name,Step_Size,Side_Length,Total_Length,Corner,Width,Height,Fillet_Radius,Simulation_Resistance,Best_Model
train,2681,Maze_100,1.5,9.0,18.0,10,40.0,400.0,30.0,1.39519249710002,ExtraTreesRegressor
train,1303,Maze_18,0.5,4.0,11.0,14,82.0,400.0,51.25,0.10241591216571,ExtraTreesRegressor
train,5578,Maze_75,1.0,13.0,51.0,30,100.0,250.0,62.5,0.471759746147465,ExtraTreesRegressor
train,50,Maze_1,0.5,3.0,8.0,12,200.0,100.0,150.0,0.0956997899216818,ExtraTreesRegressor
train,9039,Maze_121,1.5,13.5,43.5,16,150.0,150.0,131.25,0.338920378914371,ExtraTreesRegressor
train,242,Maze_4,0.5,2.0,3.0,4,82.0,40.0,61.5,1.35843745549421,ExtraTreesRegressor
train,5718,Maze_120,1.0,19.0,69.0,42,40.0,53.3333333333333,35.0,62.2040558990804,ExtraTreesRegressor
train,9790,Maze_131,1.5,16.5,25.5,10,150.0,200.0,93.75,0.118052708669954,ExtraTreesRegressor
train,6858,Maze_92,1.5,13.5,37.5,12,324.0,40.0,283.5,1.88506589438456,ExtraTreesRegressor
train,672,Maze_9,0.5,8.5,8.5,0,250.0,200.0,0.0,0.0152428414074717,ExtraTreesRegressor
test,6893,Maze_92,1.5,13.5,37.5,12,608.0,220.0,456.0,0.0127169237905471,ExtraTreesRegressor
train,8047,Maze_108,1.5,9.0,30.0,12,100.0,150.0,62.5,0.5781877908752,ExtraTreesRegressor
train,7391,Maze_99,1.5,9.0,15.0,4,150.0,200.0,112.5,0.0696442024006153,ExtraTreesRegressor
train,5590,Maze_75,1.5,4.5,7.5,4,324.0,310.0,202.5,0.0031019611356092,ExtraTreesRegressor
train,10136,Maze_136,1.5,19.5,31.5,10,50.0,200.0,37.5,2.64042993690491,ExtraTreesRegressor
train,641,Maze_9,0.5,2.5,4.5,6,124.0,310.0,93.0,0.0174253498304049,ExtraTreesRegressor
train,9621,Maze_129,2.0,10.0,18.0,6,232.0,130.0,203.0,0.089994990966336,ExtraTreesRegressor
train,3777,Maze_51,1.0,3.0,5.0,4,132.0,310.0,115.5,0.0166362163631328,ExtraTreesRegressor
train,3590,Maze_48,0.75,7.5,30.0,26,308.0,130.0,231.0,0.0987518590421009,ExtraTreesRegressor
train,7613,Maze_102,1.5,18.0,18.0,0,150.0,150.0,0.0,0.151961864524003,ExtraTreesRegressor
train,9182,Maze_123,2.0,6.0,6.0,0,424.0,40.0,0.0,0.452246630791678,ExtraTreesRegressor
train,5922,Maze_124,1.25,3.75,3.75,0,186.25,150.83333333333297,0.0,0.0212408299992296,ExtraTreesRegressor
train,122,Maze_2,0.5,1.5,2.5,4,166.0,40.0,124.5,0.458471054504379,ExtraTreesRegressor
