MazeID,StepSize,SideLength,Coordinates
Maze_57,1,5,0 2.5*1 2.5*2 2.5*3 2.5*4 2.5*5 2.5
Maze_58,1,6,0 3*1 3*1 2*1 1*2 1*2 2*3 2*3 1*4 1*5 1*5 2*5 3*6 3
Maze_59,1,6,0 3*1 3*2 3*3 3*3 2*4 2*5 2*5 3*6 3
Maze_60,1,6,0 3*1 3*1 2*2 2*3 2*3 1*4 1*4 2*4 3*3 3*3 4*4 4*5 4*5 3*6 3
Maze_61,1,7,0 3.5*1 3.5*1 4.5*1 5.5*2 5.5*2 4.5*2 3.5*2 2.5*2 1.5*2 0.5*3 0.5*3 1.5*4 1.5*5 1.5*5 2.5*6 2.5*6 3.5*7 3.5
Maze_62,1,7,0 3.5*1 3.5*2 3.5*3 3.5*4 3.5*5 3.5*5 4.5*6 4.5*6 3.5*7 3.5
Maze_63,1,7,0 3.5*1 3.5*1 2.5*2 2.5*2 1.5*2 0.5*3 0.5*3 1.5*3 2.5*4 2.5*4 3.5*4 4.5*3 4.5*2 4.5*1 4.5*1 5.5*2 5.5*2 6.5*3 6.5*4 6.5*5 6.5*5 5.5*5 4.5*6 4.5*6 3.5*7 3.5
Maze_64,1,8,0 4*1 4*1 3*2 3*2 4*2 5*3 5*3 6*3 7*4 7*5 7*6 7*7 7*7 6*7 5*7 4*8 4
Maze_65,1,8,0 4*1 4*1 3*1 2*1 1*2 1*2 2*3 2*3 3*4 3*4 2*5 2*5 3*6 3*7 3*7 4*8 4
Maze_66,1,8,0 4*1 4*1 5*2 5*2 4*2 3*3 3*3 4*4 4*4 3*4 2*4 1*5 1*5 2*5 3*5 4*5 5*5 6*5 7*6 7*7 7*7 6*7 5*6 5*6 4*6 3*6 2*7 2*7 3*7 4*8 4
Maze_67,1,9,0 4.5*1 4.5*2 4.5*2 5.5*2 6.5*3 6.5*4 6.5*5 6.5*5 7.5*5 8.5*6 8.5*7 8.5*8 8.5*8 7.5*8 6.5*8 5.5*8 4.5*9 4.5
Maze_68,1,9,0 4.5*1 4.5*1 5.5*2 5.5*2 6.5*3 6.5*3 5.5*3 4.5*3 3.5*4 3.5*5 3.5*5 2.5*6 2.5*7 2.5*8 2.5*8 3.5*8 4.5*9 4.5
Maze_69,1,9,0 4.5*1 4.5*1 5.5*2 5.5*2 4.5*2 3.5*3 3.5*4 3.5*4 4.5*4 5.5*4 6.5*5 6.5*6 6.5*6 5.5*7 5.5*8 5.5*8 4.5*9 4.5
Maze_70,1,10,0 5*1 5*1 6*1 7*2 7*2 6*2 5*3 5*4 5*4 6*5 6*5 7*5 8*5 9*6 9*6 8*6 7*6 6*6 5*7 5*8 5*9 5*10 5
Maze_71,1,10,0 5*1 5*1 6*2 6*2 7*2 8*1 8*1 9*2 9*3 9*3 8*3 7*3 6*3 5*4 5*4 4*3 4*3 3*4 3*5 3*5 4*6 4*6 3*6 2*7 2*7 1*8 1*8 2*8 3*9 3*9 4*9 5*10 5
Maze_72,1,10,0 5*1 5*1 4*1 3*1 2*1 1*2 1*3 1*3 2*4 2*4 3*5 3*6 3*6 4*5 4*5 5*4 5*4 6*5 6*5 7*5 8*6 8*7 8*8 8*8 7*9 7*9 6*8 6*7 6*7 5*7 4*7 3*8 3*8 2*8 1*9 1*9 2*9 3*9 4*8 4*8 5*9 5*10 5
Maze_73,1.5,4.5,0 2.25*1.5 2.25*1.5 0.75*3 0.75*3 2.25*4.5 2.25
Maze_74,1.5,4.5,0 2.25*1.5 2.25*3 2.25*4.5 2.25
Maze_75,1.5,4.5,0 2.25*1.5 2.25*1.5 0.75*3 0.75*3 2.25*4.5 2.25
Maze_76,1.5,6,0 3*1.5 3*1.5 4.5*3 4.5*4.5 4.5*4.5 3*6 3
Maze_77,1.5,6,0 3*1.5 3*1.5 1.5*3 1.5*4.5 1.5*4.5 3*6 3
Maze_78,1.5,6,0 3*1.5 3*1.5 4.5*3 4.5*4.5 4.5*4.5 3*6 3
Maze_79,1.5,7.5,0 3.75*1.5 3.75*3 3.75*4.5 3.75*6 3.75*7.5 3.75
Maze_80,1.5,7.5,0 3.75*1.5 3.75*1.5 2.25*1.5 0.75*3 0.75*4.5 0.75*4.5 2.25*6 2.25*6 3.75*7.5 3.75
Maze_81,1.5,7.5,0 3.75*1.5 3.75*1.5 2.25*3 2.25*3 3.75*4.5 3.75*6 3.75*7.5 3.75
Maze_82,1.5,9,0 4.5*1.5 4.5*1.5 6*1.5 7.5*3 7.5*3 6*4.5 6*6 6*7.5 6*7.5 4.5*9 4.5
Maze_83,1.5,9,0 4.5*1.5 4.5*1.5 6*3 6*4.5 6*4.5 4.5*6 4.5*6 6*6 7.5*7.5 7.5*7.5 6*7.5 4.5*9 4.5
Maze_84,1.5,9,0 4.5*1.5 4.5*1.5 3*1.5 1.5*3 1.5*4.5 1.5*4.5 3*3 3*3 4.5*4.5 4.5*6 4.5*6 3*6 1.5*7.5 1.5*7.5 3*7.5 4.5*9 4.5
Maze_85,1.5,10.5,0 5.25*1.5 5.25*3 5.25*3 3.75*4.5 3.75*4.5 2.25*6 2.25*6 0.75*7.5 0.75*7.5 2.25*9 2.25*9 3.75*9 5.25*10.5 5.25
Maze_86,1.5,10.5,0 5.25*1.5 5.25*3 5.25*4.5 5.25*6 5.25*6 3.75*6 2.25*6 0.75*7.5 0.75*9 0.75*9 2.25*7.5 2.25*7.5 3.75*9 3.75*9 5.25*10.5 5.25
Maze_87,1.5,10.5,0 5.25*1.5 5.25*1.5 3.75*1.5 2.25*1.5 0.75*3 0.75*3 2.25*3 3.75*4.5 3.75*4.5 2.25*6 2.25*6 0.75*7.5 0.75*9 0.75*9 2.25*7.5 2.25*7.5 3.75*6 3.75*6 5.25*6 6.75*7.5 6.75*7.5 8.25*7.5 9.75*9 9.75*9 8.25*9 6.75*9 5.25*10.5 5.25
Maze_88,1.5,12,0 6*1.5 6*1.5 7.5*3 7.5*4.5 7.5*4.5 6*4.5 4.5*6 4.5*7.5 4.5*7.5 3*9 3*9 4.5*9 6*9 7.5*9 9*10.5 9*10.5 7.5*10.5 6*12 6
Maze_89,1.5,12,0 6*1.5 6*3 6*3 7.5*4.5 7.5*6 7.5*6 6*4.5 6*4.5 4.5*6 4.5*6 3*6 1.5*7.5 1.5*9 1.5*9 3*10.5 3*10.5 4.5*10.5 6*12 6
Maze_90,1.5,12,0 6*1.5 6*1.5 7.5*1.5 9*3 9*4.5 9*6 9*7.5 9*7.5 10.5*9 10.5*10.5 10.5*10.5 9*10.5 7.5*10.5 6*12 6
Maze_91,1.5,13.5,0 6.75*1.5 6.75*1.5 5.25*3 5.25*4.5 5.25*4.5 3.75*4.5 2.25*4.5 0.75*6 0.75*7.5 0.75*9 0.75*9 2.25*7.5 2.25*7.5 3.75*9 3.75*9 5.25*10.5 5.25*10.5 3.75*10.5 2.25*10.5 0.75*12 0.75*12 2.25*12 3.75*12 5.25*12 6.75*13.5 6.75
Maze_92,1.5,13.5,0 6.75*1.5 6.75*3 6.75*3 8.25*3 9.75*3 11.25*3 12.75*4.5 12.75*4.5 11.25*4.5 9.75*4.5 8.25*6 8.25*7.5 8.25*7.5 9.75*7.5 11.25*7.5 12.75*9 12.75*10.5 12.75*10.5 11.25*9 11.25*9 9.75*10.5 9.75*12 9.75*12 8.25*12 6.75*13.5 6.75
Maze_93,1.5,13.5,0 6.75*1.5 6.75*3 6.75*3 5.25*3 3.75*4.5 3.75*4.5 5.25*6 5.25*7.5 5.25*9 5.25*9 3.75*10.5 3.75*10.5 5.25*12 5.25*12 6.75*13.5 6.75
Maze_94,1.5,15,0 7.5*1.5 7.5*1.5 6*1.5 4.5*1.5 3*1.5 1.5*3 1.5*3 3*4.5 3*4.5 4.5*6 4.5*7.5 4.5*9 4.5*9 3*10.5 3*12 3*12 1.5*13.5 1.5*13.5 3*13.5 4.5*12 4.5*12 6*13.5 6*13.5 7.5*15 7.5
Maze_95,1.5,15,0 7.5*1.5 7.5*3 7.5*4.5 7.5*4.5 6*4.5 4.5*6 4.5*6 6*6 7.5*6 9*7.5 9*7.5 7.5*9 7.5*10.5 7.5*12 7.5*13.5 7.5*15 7.5
Maze_96,1.5,15,0 7.5*1.5 7.5*3 7.5*3 6*3 4.5*1.5 4.5*1.5 3*1.5 1.5*3 1.5*3 3*4.5 3*6 3*6 1.5*7.5 1.5*7.5 3*9 3*10.5 3*10.5 4.5*10.5 6*12 6*13.5 6*13.5 7.5*15 7.5
Maze_97,1.75,5.25,0 2.625*1.75 2.625*3.5 2.625*5.25 2.625
Maze_98,1.75,5.25,0 2.625*1.75 2.625*3.5 2.625*5.25 2.625
Maze_99,1.75,5.25,0 2.625*1.75 2.625*1.75 4.375*3.5 4.375*3.5 2.625*5.25 2.625
Maze_100,1.75,7,0 3.5*1.75 3.5*1.75 1.75*3.5 1.75*3.5 3.5*3.5 5.25*5.25 5.25*5.25 3.5*7 3.5
Maze_101,1.75,7,0 3.5*1.75 3.5*1.75 1.75*3.5 1.75*3.5 3.5*5.25 3.5*7 3.5
Maze_102,1.75,7,0 3.5*1.75 3.5*1.75 5.25*3.5 5.25*5.25 5.25*5.25 3.5*7 3.5
Maze_103,1.75,8.75,0 4.375*1.75 4.375*1.75 2.625*1.75 0.875*3.5 0.875*3.5 2.625*3.5 4.375*3.5 6.125*5.25 6.125*5.25 4.375*5.25 2.625*7 2.625*7 4.375*8.75 4.375
Maze_104,1.75,8.75,0 4.375*1.75 4.375*1.75 6.125*3.5 6.125*3.5 4.375*3.5 2.625*5.25 2.625*5.25 0.875*7 0.875*7 2.625*7 4.375*8.75 4.375
Maze_105,1.75,8.75,0 4.375*1.75 4.375*1.75 6.125*3.5 6.125*3.5 7.875*5.25 7.875*5.25 6.125*5.25 4.375*7 4.375*8.75 4.375
Maze_106,1.75,10.5,0 5.25*1.75 5.25*3.5 5.25*5.25 5.25*5.25 3.5*7 3.5*7 5.25*7 7*8.75 7*8.75 5.25*10.5 5.25
Maze_107,1.75,10.5,0 5.25*1.75 5.25*3.5 5.25*3.5 7*5.25 7*5.25 8.75*7 8.75*7 7*8.75 7*8.75 5.25*10.5 5.25
Maze_108,1.75,10.5,0 5.25*1.75 5.25*1.75 3.5*1.75 1.75*3.5 1.75*5.25 1.75*5.25 3.5*7 3.5*7 1.75*8.75 1.75*8.75 3.5*8.75 5.25*10.5 5.25
Maze_109,1.75,12.25,0 6.125*1.75 6.125*1.75 4.375*1.75 2.625*1.75 0.875*3.5 0.875*3.5 2.625*5.25 2.625*5.25 0.875*7 0.875*7 2.625*7 4.375*7 6.125*7 7.875*7 9.625*8.75 9.625*8.75 7.875*8.75 6.125*10.5 6.125*12.25 6.125
Maze_110,1.75,12.25,0 6.125*1.75 6.125*1.75 4.375*3.5 4.375*3.5 6.125*3.5 7.875*5.25 7.875*5.25 9.625*3.5 9.625*1.75 9.625*1.75 11.375*3.5 11.375*5.25 11.375*7 11.375*8.75 11.375*8.75 9.625*7 9.625*7 7.875*8.75 7.875*8.75 6.125*10.5 6.125*12.25 6.125
Maze_111,1.75,12.25,0 6.125*1.75 6.125*1.75 7.875*1.75 9.625*3.5 9.625*5.25 9.625*7 9.625*7 7.875*7 6.125*7 4.375*8.75 4.375*10.5 4.375*10.5 6.125*12.25 6.125
Maze_112,1.75,14,0 7*1.75 7*3.5 7*3.5 5.25*5.25 5.25*7 5.25*7 3.5*8.75 3.5*10.5 3.5*12.25 3.5*12.25 5.25*12.25 7*14 7
Maze_113,1.75,14,0 7*1.75 7*1.75 5.25*3.5 5.25*3.5 3.5*5.25 3.5*5.25 1.75*7 1.75*8.75 1.75*8.75 3.5*8.75 5.25*7 5.25*7 7*7 8.75*8.75 8.75*10.5 8.75*10.5 7*12.25 7*14 7
